src,dst,predictions
14,15,0.063533022
13,9,0.995414853
9,10,0
10,11,0
5,8,0
9,0,0
0,16,0.381846679
15,8,0.381846679
6,9,0
16,3,0
11,4,0
3,9,0
9,12,0.279487111
14,2,0.279487111
8,17,2.79E-08
15,17,2.79E-08
18,17,0
5,10,0
7,11,0.013830486
15,18,0
6,0,0
10,4,0.998035848
3,18,1.48E-19
0,7,1.48E-19
19,17,0.495848712
0,10,0.495848712
13,17,1.81E-27
17,19,1.81E-27
9,14,0
11,15,0
1,9,0.001571533
1,13,0
6,5,0
14,9,0
0,6,0
12,17,0.975671232
9,19,0.049067152
6,11,0.004466285
0,1,0.355156662
3,11,0.355156662
16,8,0.053597719
19,11,0.263480877
10,13,0.263480877
8,7,0.968988836
4,7,0.022547554
8,1,5.30E-24
19,4,5.30E-24
9,11,0
7,3,0
3,11,0.318449805
17,9,0.318449805
4,7,0.286310911
7,9,0.286310911
10,9,0.191132756
10,16,0.191132756
12,16,0
12,10,0
13,1,0.408344902
17,9,0.408344902
15,1,0.00474768
10,4,0
4,16,0
18,15,0.06007328
10,14,0.142388395
6,13,0.142388395
11,9,0
1,13,0
6,8,0.000288193
2,16,0.000288193
9,16,0.079993607
10,9,0
8,18,0
16,13,0.28830723
10,8,0.28830723
11,14,0.821514726
7,12,0
19,15,0
1,2,0.055563964
16,8,2.94E-21
15,2,2.94E-21
5,1,0
17,2,0
18,13,3.89E-20
12,6,3.89E-20
13,6,0.145030863
3,10,0.145030863
11,7,1.82E-07
2,14,1.82E-07
19,4,0.945112586
10,8,0
10,13,0
16,6,0.051515049
11,18,0.052531257
7,18,6.28E-31
5,1,6.28E-31
19,17,0.050498404
19,18,6.94E-32
13,11,6.94E-32
5,9,0.00180752
1,17,0
10,17,0
17,9,0.272092118
18,5,0.272092118
0,1,0.297476217
2,0,0.297476217
9,15,0.114638606
14,1,0.114638606
19,2,0.036145484
19,6,0
17,9,0
1,4,0.997613013
0,4,0.002256254
7,16,0
15,17,0
0,7,5.11E-12
18,1,5.11E-12
10,5,3.90E-30
17,9,3.90E-30
4,5,0.001012202
15,12,0.093079339
7,18,0.071989762
12,10,0.799318969
11,14,0.11693351
16,9,0.089917652
16,19,0.057039448
0,16,0
19,10,0
14,19,0.276897161
12,2,0.276897161
5,4,0.012463521
8,0,0
9,17,0
12,9,0.004032796
4,6,0.004032796
1,18,0.325376925
6,3,0.325376925
14,7,0
9,13,0
9,2,0.245752512
10,0,0.245752512
6,10,0.22780188
10,11,0.22780188
4,13,0
15,1,0
8,10,0
0,4,0
10,2,0.054887327
14,9,0
11,18,0
14,3,0.036944861
19,3,1.87E-11
3,13,1.87E-11
18,0,0.054572309
17,1,0.006497113
5,10,0.091126734
9,8,1.74E-18
1,2,1.74E-18
11,5,0
11,1,0
17,11,0.073832867
12,15,0
14,19,0
16,3,0.662866056
2,16,0
16,19,0
17,13,0
13,1,0
1,4,0
19,17,0
6,16,0
7,15,0
9,11,0.304697871
9,12,0.217401146
8,12,0.217401146
6,16,6.73E-27
16,18,6.73E-27
3,2,0.055982638
4,16,4.30E-06
9,1,4.30E-06
8,3,1.36E-20
19,4,1.36E-20
19,2,0
11,0,0
5,14,0
5,11,0
14,11,0.050775486
13,5,1.07E-06
7,15,1.07E-06
2,17,0.083704588
14,3,0.078061814
17,14,0
10,15,0
9,18,0.491386862
11,10,0.491386862
19,15,0.162972909
14,12,0.162972909
9,19,0.007978696
4,16,0
1,16,0
19,4,0.455237627
3,4,0.013567653
15,4,0.173604712
6,11,0.173604712
4,16,0.376239768
17,6,0.376239768
7,16,0.182740294
16,7,0.182740294
11,2,0.388645189
2,8,0.388645189
8,3,0.001567841
0,16,0.481545751
7,11,0.481545751
14,0,0.070024683
0,15,0.001441412
10,15,0.116190145
10,14,0.116190145
6,7,0.097015632
13,6,0.172430431
17,5,0.172430431
3,13,6.74E-16
8,0,6.74E-16
1,15,0.077242323
