experiment,defense,scheme,profile,regime,sigma,forced_clique,n_seeds,tpr_mean,tpr_ci95,auc_mean,auc_ci95,gap_mean,gap_ci95
dual_sigma,D1_RF,T1_mean,AP1,measured,0.003465,False,100,1.0,0.0,1.0,0.0,0.979498,0.000131
dual_sigma,D1_RF,T1_mean,AP1,stress,0.15,False,100,1.0,0.0,1.0,0.0,0.867296,0.0038
dual_sigma,D1_RF,T1_mean,AP4_phi030,measured,0.003465,False,100,0.993333,0.006434,0.994167,0.005711,0.311058,0.005349
dual_sigma,D1_RF,T1_mean,AP4_phi030,stress,0.15,False,100,0.993333,0.006434,0.993512,0.006149,0.27255,0.006431
dual_sigma,D1_RF,T1_mean,AP5_p10,measured,0.003465,False,100,1.0,0.0,1.0,0.0,0.979498,0.000113
dual_sigma,D1_RF,T1_mean,AP5_p10,stress,0.15,False,100,1.0,0.0,1.0,0.0,0.867843,0.003691
dual_sigma,D1_RF,T1_mean,AP6c_active,measured,0.003465,True,100,0.99,0.007797,0.99,0.007797,0.41547,0.008991
dual_sigma,D1_RF,T1_mean,AP6c_active,stress,0.15,True,100,0.985,0.009396,0.991429,0.006337,0.37134,0.008205
dual_sigma,D1_RF,T_meanvar_z,AP6c_active_Tmvz,measured,0.003465,True,100,0.99,0.007797,0.990476,0.007445,43784.085273,642.290611
dual_sigma,D1_RF,T_meanvar_z,AP6c_active_Tmvz,stress,0.15,True,100,0.99,0.007797,0.991905,0.006464,16.04669,0.305361
dual_sigma,D2_CNN,T1_mean,AP1,measured,0.001907,False,100,1.0,0.0,1.0,0.0,0.953279,8.4e-05
dual_sigma,D2_CNN,T1_mean,AP1,stress,0.15,False,100,1.0,0.0,1.0,0.0,0.852779,0.004014
dual_sigma,D2_CNN,T1_mean,AP4_phi030,measured,0.001907,False,100,0.993333,0.006434,0.994167,0.005711,0.302769,0.005201
dual_sigma,D2_CNN,T1_mean,AP4_phi030,stress,0.15,False,100,0.991667,0.00853,0.993333,0.006207,0.267971,0.006469
dual_sigma,D2_CNN,T1_mean,AP5_p10,measured,0.001907,False,100,1.0,0.0,1.0,0.0,0.853644,7.5e-05
dual_sigma,D2_CNN,T1_mean,AP5_p10,stress,0.15,False,100,1.0,0.0,1.0,0.0,0.784893,0.004686
dual_sigma,D2_CNN,T1_mean,AP6c_active,measured,0.001907,True,100,0.99,0.007797,0.99,0.007797,0.398623,0.008851
dual_sigma,D2_CNN,T1_mean,AP6c_active,stress,0.15,True,100,0.981667,0.010273,0.990705,0.006479,0.36225,0.00813
dual_sigma,D2_CNN,T_meanvar_z,AP6c_active_Tmvz,measured,0.001907,True,100,0.99,0.007797,0.990476,0.007445,139727.76981,2050.372159
dual_sigma,D2_CNN,T_meanvar_z,AP6c_active_Tmvz,stress,0.15,True,100,0.99,0.007797,0.991667,0.006604,15.767648,0.304613
dual_sigma,D3_RHMD,T1_mean,AP1,measured,0.010608,False,100,1.0,0.0,1.0,0.0,0.671726,0.000465
dual_sigma,D3_RHMD,T1_mean,AP1,stress,0.15,False,100,1.0,0.0,1.0,0.0,0.646123,0.005743
dual_sigma,D3_RHMD,T1_mean,AP4_phi030,measured,0.010608,False,100,0.993333,0.006434,0.994167,0.005711,0.213087,0.003728
dual_sigma,D3_RHMD,T1_mean,AP4_phi030,stress,0.15,False,100,0.866667,0.036263,0.976538,0.008038,0.201567,0.006931
dual_sigma,D3_RHMD,T1_mean,AP5_p10,measured,0.010608,False,100,1.0,0.0,1.0,0.0,0.182178,0.000416
