defense,q_attack_frac,forge_target,attack_yield,tpr_mean,tpr_ci95,z_mu_mean,z_var_mean,binding_channel,effective_evasion
D1_RF,0.1,0.0,0.1,0.575,0.099069,1.9109,3.7765,variance,False
D1_RF,0.1,0.05,0.1,0.616667,0.085776,2.322,3.674,variance,False
D1_RF,0.1,0.1,0.1,0.716667,0.098,2.823,3.5105,variance,False
D1_RF,0.1,0.15,0.1,0.783333,0.085776,3.387,3.3163,mean,False
D1_RF,0.1,0.2,0.1,0.85,0.078242,4.0132,3.065,mean,False
D1_RF,0.1,0.3,0.1,0.958333,0.032451,5.3934,2.387,mean,False
D1_RF,0.2,0.0,0.2,0.966667,0.029977,3.4219,9.0307,variance,False
D1_RF,0.2,0.05,0.2,0.966667,0.029977,3.7829,8.5717,variance,False
D1_RF,0.2,0.1,0.2,0.966667,0.029977,4.2249,7.9954,variance,False
D1_RF,0.2,0.15,0.2,0.975,0.02676,4.7203,7.3605,variance,False
D1_RF,0.2,0.2,0.2,0.975,0.02676,5.2678,6.6541,variance,False
D1_RF,0.2,0.3,0.2,0.983333,0.022483,6.483,5.0685,mean,False
D1_RF,0.3,0.0,0.3,0.983333,0.022483,5.0221,12.6512,variance,False
D1_RF,0.3,0.05,0.3,0.983333,0.022483,5.3301,11.932,variance,False
D1_RF,0.3,0.1,0.3,0.983333,0.022483,5.7066,11.0538,variance,False
D1_RF,0.3,0.15,0.3,0.983333,0.022483,6.1312,10.0968,variance,False
D1_RF,0.3,0.2,0.3,0.983333,0.022483,6.6013,9.065,variance,False
D1_RF,0.3,0.3,0.3,0.983333,0.022483,7.6395,6.8634,mean,False
D1_RF,0.4,0.0,0.4,0.983333,0.022483,6.3585,14.1384,variance,False
D1_RF,0.4,0.05,0.4,0.983333,0.022483,6.6283,13.2947,variance,False
D1_RF,0.4,0.1,0.4,0.983333,0.022483,6.9598,12.2615,variance,False
D1_RF,0.4,0.15,0.4,0.983333,0.022483,7.3316,11.1389,variance,False
D1_RF,0.4,0.2,0.4,0.983333,0.022483,7.738,9.9559,variance,False
D1_RF,0.4,0.3,0.4,0.983333,0.022483,8.6285,7.4938,mean,False
D1_RF,0.5,0.0,0.5,0.983333,0.022483,7.8009,14.538,variance,False
D1_RF,0.5,0.05,0.5,0.983333,0.022483,8.0273,13.6287,variance,False
D1_RF,0.5,0.1,0.5,0.983333,0.022483,8.3065,12.5144,variance,False
D1_RF,0.5,0.15,0.5,0.983333,0.022483,8.6177,11.3154,variance,False
D1_RF,0.5,0.2,0.5,0.983333,0.022483,8.9579,10.0513,variance,False
D1_RF,0.5,0.3,0.5,0.983333,0.022483,9.6947,7.4951,mean,False
D1_RF,0.6,0.0,0.6,1.0,0.0,8.9171,14.1795,variance,False
D1_RF,0.6,0.05,0.6,1.0,0.0,9.1025,13.2891,variance,False
D1_RF,0.6,0.1,0.6,1.0,0.0,9.3337,12.1907,variance,False
D1_RF,0.6,0.15,0.6,1.0,0.0,9.5908,11.0194,variance,False
D1_RF,0.6,0.2,0.6,1.0,0.0,9.8747,9.7746,mean,False
D1_RF,0.6,0.3,0.6,1.0,0.0,10.4915,7.2621,mean,False
D1_RF,0.7,0.0,0.7,1.0,0.0,10.6603,11.7288,variance,False
D1_RF,0.7,0.05,0.7,1.0,0.0,10.7873,10.9682,variance,False
D1_RF,0.7,0.1,0.7,1.0,0.0,10.9445,10.0517,mean,False
D1_RF,0.7,0.15,0.7,1.0,0.0,11.1205,9.0682,mean,False
D1_RF,0.7,0.2,0.7,1.0,0.0,11.3154,8.0246,mean,False
D1_RF,0.7,0.3,0.7,1.0,0.0,11.7382,5.9342,mean,False
D1_RF,0.8,0.0,0.8,1.0,0.0,11.853,8.8201,mean,False
D1_RF,0.8,0.05,0.8,1.0,0.0,11.9434,8.2172,mean,False
D1_RF,0.8,0.1,0.8,1.0,0.0,12.0525,7.5095,mean,False
D1_RF,0.8,0.15,0.8,1.0,0.0,12.1751,6.7462,mean,False
D1_RF,0.8,0.2,0.8,1.0,0.0,12.3108,5.9369,mean,False
D1_RF,0.8,0.3,0.8,1.0,0.0,12.6035,4.3293,mean,False
D1_RF,0.9,0.0,0.9,1.0,0.0,12.9541,5.2736,mean,False
D1_RF,0.9,0.05,0.9,1.0,0.0,13.0046,4.9155,mean,False
D1_RF,0.9,0.1,0.9,1.0,0.0,13.0698,4.4632,mean,False
D1_RF,0.9,0.15,0.9,1.0,0.0,13.1424,3.9805,mean,False
D1_RF,0.9,0.2,0.9,1.0,0.0,13.2222,3.4719,mean,False
D1_RF,0.9,0.3,0.9,1.0,0.0,13.394,2.4609,mean,False
D1_RF,1.0,0.0,1.0,1.0,0.0,14.5743,-1.0089,mean,False
D1_RF,1.0,0.05,1.0,1.0,0.0,14.5743,-1.0089,mean,False
D1_RF,1.0,0.1,1.0,1.0,0.0,14.5743,-1.0089,mean,False
D1_RF,1.0,0.15,1.0,1.0,0.0,14.5743,-1.0089,mean,False
D1_RF,1.0,0.2,1.0,1.0,0.0,14.5743,-1.0089,mean,False
D1_RF,1.0,0.3,1.0,1.0,0.0,14.5743,-1.0089,mean,False
D2_CNN,0.1,0.0,0.1,0.566667,0.093001,1.7568,3.6957,variance,False
D2_CNN,0.1,0.05,0.1,0.6,0.086752,2.1679,3.5961,variance,False
D2_CNN,0.1,0.1,0.1,0.691667,0.101311,2.6688,3.4359,variance,False
D2_CNN,0.1,0.15,0.1,0.766667,0.083452,3.2328,3.2456,variance,False
D2_CNN,0.1,0.2,0.1,0.841667,0.076702,3.8591,2.9986,mean,False
D2_CNN,0.1,0.3,0.1,0.958333,0.032451,5.2393,2.33,mean,False
D2_CNN,0.2,0.0,0.2,0.958333,0.032451,3.2532,8.8557,variance,False
D2_CNN,0.2,0.05,0.2,0.966667,0.029977,3.6143,8.4027,variance,False
D2_CNN,0.2,0.1,0.2,0.966667,0.029977,4.0562,7.8338,variance,False
D2_CNN,0.2,0.15,0.2,0.975,0.02676,4.5516,7.2069,variance,False
D2_CNN,0.2,0.2,0.2,0.975,0.02676,5.0992,6.5096,variance,False
D2_CNN,0.2,0.3,0.2,0.983333,0.022483,6.3143,4.9443,mean,False
D2_CNN,0.3,0.0,0.3,0.983333,0.022483,4.837,12.4102,variance,False
D2_CNN,0.3,0.05,0.3,0.983333,0.022483,5.1449,11.6997,variance,False
D2_CNN,0.3,0.1,0.3,0.983333,0.022483,5.5214,10.832,variance,False
D2_CNN,0.3,0.15,0.3,0.983333,0.022483,5.9461,9.8866,variance,False
D2_CNN,0.3,0.2,0.3,0.983333,0.022483,6.4162,8.8676,variance,False
D2_CNN,0.3,0.3,0.3,0.983333,0.022483,7.4544,6.6944,mean,False
D2_CNN,0.4,0.0,0.4,0.983333,0.022483,6.1575,13.857,variance,False
D2_CNN,0.4,0.05,0.4,0.983333,0.022483,6.4273,13.0238,variance,False
D2_CNN,0.4,0.1,0.4,0.983333,0.022483,6.7588,12.0031,variance,False
D2_CNN,0.4,0.15,0.4,0.983333,0.022483,7.1307,10.8946,variance,False
D2_CNN,0.4,0.2,0.4,0.983333,0.022483,7.537,9.7269,variance,False
D2_CNN,0.4,0.3,0.4,0.983333,0.022483,8.4275,7.2988,mean,False
D2_CNN,0.5,0.0,0.5,0.983333,0.022483,7.5838,14.2513,variance,False
D2_CNN,0.5,0.05,0.5,0.983333,0.022483,7.8102,13.3535,variance,False
D2_CNN,0.5,0.1,0.5,0.983333,0.022483,8.0894,12.2528,variance,False
D2_CNN,0.5,0.15,0.5,0.983333,0.022483,8.4006,11.0689,variance,False
D2_CNN,0.5,0.2,0.5,0.983333,0.022483,8.7408,9.8214,variance,False
D2_CNN,0.5,0.3,0.5,0.983333,0.022483,9.4776,7.3013,mean,False
D2_CNN,0.6,0.0,0.6,1.0,0.0,8.6889,13.9115,variance,False
D2_CNN,0.6,0.05,0.6,1.0,0.0,8.8743,13.0318,variance,False
D2_CNN,0.6,0.1,0.6,1.0,0.0,9.1054,11.9463,variance,False
D2_CNN,0.6,0.15,0.6,1.0,0.0,9.3626,10.7892,variance,False
D2_CNN,0.6,0.2,0.6,1.0,0.0,9.6465,9.5602,mean,False
D2_CNN,0.6,0.3,0.6,1.0,0.0,10.2633,7.0823,mean,False
D2_CNN,0.7,0.0,0.7,1.0,0.0,10.4133,11.5196,variance,False
D2_CNN,0.7,0.05,0.7,1.0,0.0,10.5403,10.7677,variance,False
D2_CNN,0.7,0.1,0.7,1.0,0.0,10.6975,9.8618,mean,False
D2_CNN,0.7,0.15,0.7,1.0,0.0,10.8734,8.8899,mean,False
D2_CNN,0.7,0.2,0.7,1.0,0.0,11.0684,7.8595,mean,False
D2_CNN,0.7,0.3,0.7,1.0,0.0,11.4912,5.7978,mean,False
D2_CNN,0.8,0.0,0.8,1.0,0.0,11.593,8.6707,mean,False
D2_CNN,0.8,0.05,0.8,1.0,0.0,11.6834,8.0748,mean,False
D2_CNN,0.8,0.1,0.8,1.0,0.0,11.7925,7.3756,mean,False
D2_CNN,0.8,0.15,0.8,1.0,0.0,11.9151,6.6216,mean,False
D2_CNN,0.8,0.2,0.8,1.0,0.0,12.0508,5.8228,mean,False
D2_CNN,0.8,0.3,0.8,1.0,0.0,12.3434,4.238,mean,False
D2_CNN,0.9,0.0,0.9,1.0,0.0,12.6825,5.2095,mean,False
D2_CNN,0.9,0.05,0.9,1.0,0.0,12.733,4.8556,mean,False
D2_CNN,0.9,0.1,0.9,1.0,0.0,12.7982,4.4085,mean,False
D2_CNN,0.9,0.15,0.9,1.0,0.0,12.8707,3.9317,mean,False
D2_CNN,0.9,0.2,0.9,1.0,0.0,12.9505,3.4296,mean,False
D2_CNN,0.9,0.3,0.9,1.0,0.0,13.1224,2.4324,mean,False
D2_CNN,1.0,0.0,1.0,1.0,0.0,14.283,-0.9347,mean,False
D2_CNN,1.0,0.05,1.0,1.0,0.0,14.283,-0.9347,mean,False
D2_CNN,1.0,0.1,1.0,1.0,0.0,14.283,-0.9347,mean,False
D2_CNN,1.0,0.15,1.0,1.0,0.0,14.283,-0.9347,mean,False
D2_CNN,1.0,0.2,1.0,1.0,0.0,14.283,-0.9347,mean,False
D2_CNN,1.0,0.3,1.0,1.0,0.0,14.283,-0.9347,mean,False
D3_RHMD,0.1,0.0,0.1,0.533333,0.090553,-1.0532,3.0461,variance,False
D3_RHMD,0.1,0.05,0.1,0.541667,0.088276,-0.6421,2.9697,variance,False
D3_RHMD,0.1,0.1,0.1,0.55,0.092091,-0.1412,2.8381,variance,False
D3_RHMD,0.1,0.15,0.1,0.541667,0.097353,0.4228,2.6796,variance,False
D3_RHMD,0.1,0.2,0.1,0.583333,0.090243,1.0491,2.4678,variance,False
D3_RHMD,0.1,0.3,0.1,0.733333,0.098856,2.4293,1.8772,mean,False
D3_RHMD,0.2,0.0,0.2,0.941667,0.042888,0.3215,7.4511,variance,False
D3_RHMD,0.2,0.05,0.2,0.933333,0.043699,0.6826,7.0477,variance,False
D3_RHMD,0.2,0.1,0.2,0.933333,0.043699,1.1245,6.5402,variance,False
D3_RHMD,0.2,0.15,0.2,0.916667,0.050273,1.6199,5.982,variance,False
D3_RHMD,0.2,0.2,0.2,0.925,0.044178,2.1675,5.3602,variance,False
D3_RHMD,0.2,0.3,0.2,0.925,0.055452,3.3827,3.9637,variance,False
D3_RHMD,0.3,0.0,0.3,0.983333,0.022483,1.771,10.4575,variance,False
D3_RHMD,0.3,0.05,0.3,0.975,0.02676,2.0789,9.8179,variance,False
D3_RHMD,0.3,0.1,0.3,0.975,0.02676,2.4555,9.0369,variance,False
D3_RHMD,0.3,0.15,0.3,0.966667,0.029977,2.8801,8.1883,variance,False
D3_RHMD,0.3,0.2,0.3,0.966667,0.029977,3.3502,7.2756,variance,False
D3_RHMD,0.3,0.3,0.3,0.958333,0.040183,4.3884,5.3386,variance,False
D3_RHMD,0.4,0.0,0.4,0.983333,0.022483,2.9681,11.6266,variance,False
D3_RHMD,0.4,0.05,0.4,0.983333,0.022483,3.2379,10.8758,variance,False
D3_RHMD,0.4,0.1,0.4,0.983333,0.022483,3.5694,9.9561,variance,False
D3_RHMD,0.4,0.15,0.4,0.983333,0.022483,3.9413,8.9614,variance,False
D3_RHMD,0.4,0.2,0.4,0.983333,0.022483,4.3476,7.9182,variance,False
D3_RHMD,0.4,0.3,0.4,0.975,0.035745,5.2381,5.7648,variance,False
D3_RHMD,0.5,0.0,0.5,0.983333,0.022483,4.2683,12.0078,variance,False
D3_RHMD,0.5,0.05,0.5,0.983333,0.022483,4.4947,11.197,variance,False
D3_RHMD,0.5,0.1,0.5,0.983333,0.022483,4.7739,10.2026,variance,False
D3_RHMD,0.5,0.15,0.5,0.983333,0.022483,5.0851,9.1376,variance,False
D3_RHMD,0.5,0.2,0.5,0.983333,0.022483,5.4254,8.0207,variance,False
D3_RHMD,0.5,0.3,0.5,0.983333,0.022483,6.1622,5.786,mean,False
D3_RHMD,0.6,0.0,0.6,1.0,0.0,5.2826,11.7679,variance,False
D3_RHMD,0.6,0.05,0.6,1.0,0.0,5.4681,10.971,variance,False
D3_RHMD,0.6,0.1,0.6,1.0,0.0,5.6992,9.9881,variance,False
D3_RHMD,0.6,0.15,0.6,1.0,0.0,5.9564,8.9454,variance,False
D3_RHMD,0.6,0.2,0.6,1.0,0.0,6.2402,7.8432,variance,False
D3_RHMD,0.6,0.3,0.6,1.0,0.0,6.857,5.643,mean,False
D3_RHMD,0.7,0.0,0.7,1.0,0.0,6.8641,9.8332,variance,False
D3_RHMD,0.7,0.05,0.7,1.0,0.0,6.9911,9.1494,variance,False
D3_RHMD,0.7,0.1,0.7,1.0,0.0,7.1483,8.3263,variance,False
