tier,defense,scheme,q_attack_frac,tpr_mean,tpr_ci95,inversion_rate,edge_evasion_rate,op_count,cost_vs_T1,complexity,measured_threshold_z,forge,w_m,m
V0,D5_Stochastic,T1_mean,0.1,0.0,0.0,1.0,0.4667,7,1.0,O(k),2.2659,0.3,,
V0,D5_Stochastic,T2_SL,0.1,0.0,0.0,1.0,0.4667,20,2.86,O(k),2.2659,0.3,,
V0,D5_Stochastic,T3_Beta,0.1,0.0,0.0,1.0,0.4667,20,2.86,O(k),2.2659,0.3,,
V0,D5_Stochastic,T5_TFLDT,0.1,0.0,0.0,1.0,0.4667,20,2.86,O(k + deg),2.2659,0.3,,
V0,D5_Stochastic,T_max,0.1,0.422222,0.109818,0.2667,0.4667,6,0.86,O(k),2.2659,0.3,,
V0,D5_Stochastic,T_median,0.1,0.0,0.0,1.0,0.4667,16,2.29,O(k log k),2.2659,0.3,,
V0,D5_Stochastic,T4_EigenTrust,0.1,0.033333,0.047285,0.8,0.4667,11400,1628.57,O(iters * E),2.2659,0.3,,
V0,D5_Stochastic,T_meanvar_z,0.1,0.422222,0.105089,0.1333,0.4667,18,2.57,O(k),2.2659,0.3,,
V0T,D5_Stochastic,T1_mean,0.1,0.0,0.0,1.0,0.4667,7,1.0,O(k),2.2659,0.3,,
V0T,D5_Stochastic,T2_SL,0.1,0.0,0.0,1.0,0.4667,20,2.86,O(k),2.2659,0.3,,
V0T,D5_Stochastic,T3_Beta,0.1,0.0,0.0,1.0,0.4667,20,2.86,O(k),2.2659,0.3,,
V0T,D5_Stochastic,T5_TFLDT,0.1,0.0,0.0,1.0,0.4667,20,2.86,O(k + deg),2.2659,0.3,,
V0T,D5_Stochastic,T_max,0.1,0.422222,0.109818,0.2667,0.4667,6,0.86,O(k),2.2659,0.3,,
V0T,D5_Stochastic,T_median,0.1,0.0,0.0,1.0,0.4667,16,2.29,O(k log k),2.2659,0.3,,
V0T,D5_Stochastic,T4_EigenTrust,0.1,0.033333,0.047285,0.8,0.4667,11400,1628.57,O(iters * E),2.2659,0.3,,
V0T,D5_Stochastic,T_meanvar_z,0.1,0.422222,0.105089,0.1333,0.4667,18,2.57,O(k),2.2659,0.3,,
V1,D5_Stochastic,T1_mean,0.1,0.277778,0.141376,0.1333,0.9333,7,1.0,O(k),2.2659,,0.9,0.5042
V1,D5_Stochastic,T2_SL,0.1,0.277778,0.141376,0.1333,0.9333,20,2.86,O(k),2.2659,,0.9,0.5042
V1,D5_Stochastic,T3_Beta,0.1,0.277778,0.141376,0.1333,0.9333,20,2.86,O(k),2.2659,,0.9,0.5042
V1,D5_Stochastic,T5_TFLDT,0.1,0.277778,0.141376,0.1333,0.9333,20,2.86,O(k + deg),2.2659,,0.9,0.5042
V1,D5_Stochastic,T_max,0.1,0.311111,0.118712,0.1333,0.9333,6,0.86,O(k),2.2659,,0.9,0.5042
V1,D5_Stochastic,T_median,0.1,0.244444,0.122918,0.2,0.9333,16,2.29,O(k log k),2.2659,,0.9,0.5042
V1,D5_Stochastic,T4_EigenTrust,0.1,0.1,0.076776,0.3333,0.9333,11400,1628.57,O(iters * E),2.2659,,0.9,0.5042
V1,D5_Stochastic,T_meanvar_z,0.1,0.211111,0.125374,0.0667,0.9333,18,2.57,O(k),2.2659,,0.9,0.5042
V1T,D5_Stochastic,T1_mean,0.1,0.055556,0.061044,0.8667,0.8,7,1.0,O(k),2.2659,,0.8775,0.3841
V1T,D5_Stochastic,T2_SL,0.1,0.055556,0.061044,0.8667,0.8,20,2.86,O(k),2.2659,,0.8775,0.3841
V1T,D5_Stochastic,T3_Beta,0.1,0.055556,0.061044,0.8667,0.8,20,2.86,O(k),2.2659,,0.8775,0.3841
V1T,D5_Stochastic,T5_TFLDT,0.1,0.055556,0.061044,0.8667,0.8,20,2.86,O(k + deg),2.2659,,0.8775,0.3841
V1T,D5_Stochastic,T_max,0.1,0.222222,0.108889,0.4667,0.8,6,0.86,O(k),2.2659,,0.8775,0.3841
V1T,D5_Stochastic,T_median,0.1,0.055556,0.068867,0.8667,0.8,16,2.29,O(k log k),2.2659,,0.8775,0.3841
V1T,D5_Stochastic,T4_EigenTrust,0.1,0.066667,0.076776,0.6,0.8,11400,1628.57,O(iters * E),2.2659,,0.8775,0.3841
V1T,D5_Stochastic,T_meanvar_z,0.1,0.266667,0.122643,0.2,0.8,18,2.57,O(k),2.2659,,0.8775,0.3841
