tier,defense,scheme,q_attack_frac,tpr_mean,tpr_ci95,inversion_rate,edge_evasion_rate,op_count,cost_vs_T1,complexity,measured_threshold_z,forge,w_m,m
V0,D1_RF,T1_mean,0.1,0.409667,0.050847,0.04,0.01,7,1.0,O(k),2.1638,0.0,,
V0,D1_RF,T2_SL,0.1,0.409667,0.050847,0.04,0.01,20,2.86,O(k),2.1638,0.0,,
V0,D1_RF,T3_Beta,0.1,0.409667,0.050847,0.04,0.01,20,2.86,O(k),2.1638,0.0,,
V0,D1_RF,T5_TFLDT,0.1,0.403,0.048404,0.04,0.01,20,2.86,O(k + deg),2.1638,0.0,,
V0,D1_RF,T_max,0.1,0.531333,0.04462,0.02,0.01,6,0.86,O(k),2.1638,0.0,,
V0,D1_RF,T_median,0.1,0.071667,0.02468,0.57,0.01,16,2.29,O(k log k),2.1638,0.0,,
V0,D1_RF,T4_EigenTrust,0.1,0.085,0.02727,0.3,0.01,11400,1628.57,O(iters * E),2.1638,0.0,,
V0,D1_RF,T_meanvar_z,0.1,0.533,0.044934,0.02,0.01,18,2.57,O(k),2.1638,0.0,,
V0T,D1_RF,T1_mean,0.1,0.409667,0.050847,0.04,0.01,7,1.0,O(k),2.1638,0.0,,
V0T,D1_RF,T2_SL,0.1,0.409667,0.050847,0.04,0.01,20,2.86,O(k),2.1638,0.0,,
V0T,D1_RF,T3_Beta,0.1,0.409667,0.050847,0.04,0.01,20,2.86,O(k),2.1638,0.0,,
V0T,D1_RF,T5_TFLDT,0.1,0.403,0.048404,0.04,0.01,20,2.86,O(k + deg),2.1638,0.0,,
V0T,D1_RF,T_max,0.1,0.531333,0.04462,0.02,0.01,6,0.86,O(k),2.1638,0.0,,
V0T,D1_RF,T_median,0.1,0.071667,0.02468,0.57,0.01,16,2.29,O(k log k),2.1638,0.0,,
V0T,D1_RF,T4_EigenTrust,0.1,0.085,0.02727,0.3,0.01,11400,1628.57,O(iters * E),2.1638,0.0,,
V0T,D1_RF,T_meanvar_z,0.1,0.533,0.044934,0.02,0.01,18,2.57,O(k),2.1638,0.0,,
V1,D1_RF,T1_mean,0.1,0.848333,0.039696,0.0,0.03,7,1.0,O(k),2.1638,,0.9,0.1898
V1,D1_RF,T2_SL,0.1,0.848333,0.039696,0.0,0.03,20,2.86,O(k),2.1638,,0.9,0.1898
V1,D1_RF,T3_Beta,0.1,0.848333,0.039696,0.0,0.03,20,2.86,O(k),2.1638,,0.9,0.1898
V1,D1_RF,T5_TFLDT,0.1,0.838,0.038702,0.0,0.03,20,2.86,O(k + deg),2.1638,,0.9,0.1898
V1,D1_RF,T_max,0.1,0.686333,0.043833,0.0,0.03,6,0.86,O(k),2.1638,,0.9,0.1898
V1,D1_RF,T_median,0.1,0.771667,0.043221,0.0,0.03,16,2.29,O(k log k),2.1638,,0.9,0.1898
V1,D1_RF,T4_EigenTrust,0.1,0.148333,0.03769,0.15,0.03,11400,1628.57,O(iters * E),2.1638,,0.9,0.1898
V1,D1_RF,T_meanvar_z,0.1,0.851667,0.031795,0.0,0.03,18,2.57,O(k),2.1638,,0.9,0.1898
V1T,D1_RF,T1_mean,0.1,0.474667,0.046654,0.02,0.07,7,1.0,O(k),2.1638,,0.8999,0.0527
V1T,D1_RF,T2_SL,0.1,0.474667,0.046654,0.02,0.07,20,2.86,O(k),2.1638,,0.8999,0.0527
V1T,D1_RF,T3_Beta,0.1,0.474667,0.046654,0.02,0.07,20,2.86,O(k),2.1638,,0.8999,0.0527
V1T,D1_RF,T5_TFLDT,0.1,0.474333,0.046429,0.02,0.07,20,2.86,O(k + deg),2.1638,,0.8999,0.0527
V1T,D1_RF,T_max,0.1,0.476,0.040648,0.02,0.07,6,0.86,O(k),2.1638,,0.8999,0.0527
V1T,D1_RF,T_median,0.1,0.230333,0.04495,0.1,0.07,16,2.29,O(k log k),2.1638,,0.8999,0.0527
