scheme,defense,q_attack_frac,tuned_attacker_tpr,tpr_ci95,breakdown_tpr,attacker_strategy,benign_mean,benign_std,threshold_p99,thr_in_tail_std,realized_benign_fpr,op_count,cost_vs_T1,complexity
T1_mean,D1_RF,0.2,0.898333,0.028957,,forge=0.00,0.0696,0.0423,0.186,2.751,0.01,7,1.0,O(k)
T1_mean,D1_RF,0.3,0.991667,0.007155,,forge=0.00,0.0696,0.0423,0.186,2.751,0.01,7,1.0,O(k)
T1_mean,D1_RF,0.4,0.993333,0.006434,,forge=0.00,0.0696,0.0423,0.186,2.751,0.01,7,1.0,O(k)
T1_mean,D1_RF,0.5,0.993333,0.006434,,forge=0.00,0.0696,0.0423,0.186,2.751,0.01,7,1.0,O(k)
T1_mean,D1_RF,0.6,1.0,0.0,,forge=0.00,0.0696,0.0423,0.186,2.751,0.01,7,1.0,O(k)
T1_mean,D1_RF,0.7,1.0,0.0,,forge=0.00,0.0696,0.0423,0.186,2.751,0.01,7,1.0,O(k)
T1_mean,D1_RF,0.8,1.0,0.0,,forge=0.00,0.0696,0.0423,0.186,2.751,0.01,7,1.0,O(k)
T2_SL,D1_RF,0.2,0.898333,0.028957,,forge=0.00,0.1413,0.0353,0.2383,2.751,0.01,20,2.86,O(k)
T2_SL,D1_RF,0.3,0.991667,0.007155,,forge=0.00,0.1413,0.0353,0.2383,2.751,0.01,20,2.86,O(k)
T2_SL,D1_RF,0.4,0.993333,0.006434,,forge=0.00,0.1413,0.0353,0.2383,2.751,0.01,20,2.86,O(k)
T2_SL,D1_RF,0.5,0.993333,0.006434,,forge=0.00,0.1413,0.0353,0.2383,2.751,0.01,20,2.86,O(k)
T2_SL,D1_RF,0.6,1.0,0.0,,forge=0.00,0.1413,0.0353,0.2383,2.751,0.01,20,2.86,O(k)
T2_SL,D1_RF,0.7,1.0,0.0,,forge=0.00,0.1413,0.0353,0.2383,2.751,0.01,20,2.86,O(k)
T2_SL,D1_RF,0.8,1.0,0.0,,forge=0.00,0.1413,0.0353,0.2383,2.751,0.01,20,2.86,O(k)
T3_Beta,D1_RF,0.2,0.898333,0.028957,,forge=0.00,0.1413,0.0353,0.2383,2.751,0.01,20,2.86,O(k)
T3_Beta,D1_RF,0.3,0.991667,0.007155,,forge=0.00,0.1413,0.0353,0.2383,2.751,0.01,20,2.86,O(k)
T3_Beta,D1_RF,0.4,0.993333,0.006434,,forge=0.00,0.1413,0.0353,0.2383,2.751,0.01,20,2.86,O(k)
T3_Beta,D1_RF,0.5,0.993333,0.006434,,forge=0.00,0.1413,0.0353,0.2383,2.751,0.01,20,2.86,O(k)
T3_Beta,D1_RF,0.6,1.0,0.0,,forge=0.00,0.1413,0.0353,0.2383,2.751,0.01,20,2.86,O(k)
T3_Beta,D1_RF,0.7,1.0,0.0,,forge=0.00,0.1413,0.0353,0.2383,2.751,0.01,20,2.86,O(k)
T3_Beta,D1_RF,0.8,1.0,0.0,,forge=0.00,0.1413,0.0353,0.2383,2.751,0.01,20,2.86,O(k)
T5_TFLDT,D1_RF,0.2,0.886667,0.03145,,forge=0.00,0.0696,0.0302,0.1562,2.866,0.01,20,2.86,O(k + deg)
T5_TFLDT,D1_RF,0.3,0.986667,0.011066,,forge=0.00,0.0696,0.0302,0.1562,2.866,0.01,20,2.86,O(k + deg)
T5_TFLDT,D1_RF,0.4,0.993333,0.006434,,forge=0.00,0.0696,0.0302,0.1562,2.866,0.01,20,2.86,O(k + deg)
T5_TFLDT,D1_RF,0.5,0.996667,0.004596,,forge=0.00,0.0696,0.0302,0.1562,2.866,0.01,20,2.86,O(k + deg)
T5_TFLDT,D1_RF,0.6,1.0,0.0,,forge=0.00,0.0696,0.0302,0.1562,2.866,0.01,20,2.86,O(k + deg)
