defense,scheme,profile,N,sigma,phi,p,n_seeds,AUC,tpr_at_fpr01,gap
D3_RHMD,T1_mean,AP1,20,0.15,,,80,,1.0,0.6464817670685481
D3_RHMD,T4_EigenTrust,AP1,20,0.15,,,80,,0.7395833333333333,0.04194031669665019
D3_RHMD,T1_mean,AP4_phi030,20,0.15,0.3,,80,,0.86875,0.20100213639859738
D3_RHMD,T4_EigenTrust,AP4_phi030,20,0.15,0.3,,80,,0.16458333333333333,0.011498024965590919
D3_RHMD,T1_mean,AP5_phi100_p10,20,0.15,1.0,10,80,,0.7791666666666666,0.1703685578136124
D3_RHMD,T4_EigenTrust,AP5_phi100_p10,20,0.15,1.0,10,80,,0.14791666666666664,0.008552819632257399
D3_RHMD,T1_mean,AP6,20,0.15,,,80,,0.9895833333333334,0.4762745086108608
D3_RHMD,T4_EigenTrust,AP6,20,0.15,,,80,,0.6333333333333334,0.036529495291332204
D3_RHMD,T1_mean,AP1,50,0.15,,,80,,1.0,0.6484831433167162
D3_RHMD,T4_EigenTrust,AP1,50,0.15,,,80,,0.9908333333333333,0.018027399362182152
D3_RHMD,T1_mean,AP4_phi030,50,0.15,0.3,,80,,0.9991666666666668,0.19246952361483333
D3_RHMD,T4_EigenTrust,AP4_phi030,50,0.15,0.3,,80,,0.18249999999999997,0.00450652532173459
D3_RHMD,T1_mean,AP5_phi100_p10,50,0.15,1.0,10,80,,0.9908333333333333,0.17695569172573614
D3_RHMD,T4_EigenTrust,AP5_phi100_p10,50,0.15,1.0,10,80,,0.14750000000000002,0.003912488166532365
D3_RHMD,T1_mean,AP6,50,0.15,,,80,,1.0,0.46190606992321603
D3_RHMD,T4_EigenTrust,AP6,50,0.15,,,80,,0.9658333333333335,0.01571217671734294
D3_RHMD,T1_mean,AP1,100,0.15,,,80,,1.0,0.6500886375235424
D3_RHMD,T4_EigenTrust,AP1,100,0.15,,,80,,1.0,0.009129818918655714
D3_RHMD,T1_mean,AP4_phi030,100,0.15,0.3,,80,,1.0,0.1944113551574529
D3_RHMD,T4_EigenTrust,AP4_phi030,100,0.15,0.3,,80,,0.25583333333333336,0.002235961902905111
D3_RHMD,T1_mean,AP5_phi100_p10,100,0.15,1.0,10,80,,1.0,0.17568401914221204
D3_RHMD,T4_EigenTrust,AP5_phi100_p10,100,0.15,1.0,10,80,,0.20541666666666666,0.0019583544317806497
D3_RHMD,T1_mean,AP6,100,0.15,,,80,,1.0,0.4601071001850858
D3_RHMD,T4_EigenTrust,AP6,100,0.15,,,80,,1.0,0.007933798372266787
