defense,scheme,profile,N,sigma,phi,p,n_seeds,AUC,tpr_at_fpr01,gap
D3_RHMD,T1_mean,AP1,20,0.15,,,80,,1.0,0.6487191500518269
D3_RHMD,T4_EigenTrust,AP1,20,0.15,,,80,,0.74375,0.04210725954385579
D3_RHMD,T1_mean,AP4_phi030,20,0.15,0.3,,80,,0.86875,0.20171339781663294
D3_RHMD,T4_EigenTrust,AP4_phi030,20,0.15,0.3,,80,,0.16666666666666666,0.011534054499057853
D3_RHMD,T1_mean,AP5_phi100_p10,20,0.15,1.0,10,80,,0.8125,0.17777872928043853
D3_RHMD,T4_EigenTrust,AP5_phi100_p10,20,0.15,1.0,10,80,,0.14999999999999997,0.008923842343825868
D3_RHMD,T1_mean,AP6,20,0.15,,,80,,0.9895833333333334,0.47793151178626997
D3_RHMD,T4_EigenTrust,AP6,20,0.15,,,80,,0.6354166666666667,0.03670315204625345
D3_RHMD,T1_mean,AP1,50,0.15,,,80,,1.0,0.6507147286370135
D3_RHMD,T4_EigenTrust,AP1,50,0.15,,,80,,0.9908333333333333,0.018092401387292435
D3_RHMD,T1_mean,AP4_phi030,50,0.15,0.3,,80,,0.9991666666666668,0.19312304893585694
D3_RHMD,T4_EigenTrust,AP4_phi030,50,0.15,0.3,,80,,0.18249999999999997,0.004519315075693737
D3_RHMD,T1_mean,AP5_phi100_p10,50,0.15,1.0,10,80,,0.9966666666666667,0.1843880126387903
D3_RHMD,T4_EigenTrust,AP5_phi100_p10,50,0.15,1.0,10,80,,0.15333333333333332,0.004082427871704075
D3_RHMD,T1_mean,AP6,50,0.15,,,80,,1.0,0.46349639523177855
D3_RHMD,T4_EigenTrust,AP6,50,0.15,,,80,,0.9683333333333334,0.015781426398625432
D3_RHMD,T1_mean,AP1,100,0.15,,,80,,1.0,0.6523164957409427
D3_RHMD,T4_EigenTrust,AP1,100,0.15,,,80,,1.0,0.009161770634293255
D3_RHMD,T1_mean,AP4_phi030,100,0.15,0.3,,80,,1.0,0.19507784159147742
D3_RHMD,T4_EigenTrust,AP4_phi030,100,0.15,0.3,,80,,0.25625,0.0022423464600951426
D3_RHMD,T1_mean,AP5_phi100_p10,100,0.15,1.0,10,80,,1.0,0.18310865997693854
D3_RHMD,T4_EigenTrust,AP5_phi100_p10,100,0.15,1.0,10,80,,0.22041666666666665,0.002045889305662841
D3_RHMD,T1_mean,AP6,100,0.15,,,80,,1.0,0.46168122483985086
D3_RHMD,T4_EigenTrust,AP6,100,0.15,,,80,,1.0,0.007968035213619162
