defense,scheme,profile,N,sigma,phi,p,inclique,n_seeds,AUC,tpr_at_fpr01
D3_RHMD,T1_mean,AP4_phi030,20,0.05,0.3,,,100,,0.9933333333333334
D3_RHMD,T1_mean,AP5_phi100_p10,20,0.05,1.0,10,,100,,1.0
D3_RHMD,T1_mean,AP6c_active,20,0.05,,,0.0,100,,0.94
D6_DRL,T1_mean,AP4_phi030,20,0.05,0.3,,,100,,0.9933333333333334
D6_DRL,T1_mean,AP5_phi100_p10,20,0.05,1.0,10,,100,,1.0
D6_DRL,T1_mean,AP6c_active,20,0.05,,,0.0,100,,0.99
D3_RHMD,T_max,AP4_phi030,20,0.05,0.3,,,100,,0.9916666666666667
D3_RHMD,T_max,AP5_phi100_p10,20,0.05,1.0,10,,100,,0.9933333333333334
D3_RHMD,T_max,AP6c_active,20,0.05,,,0.0,100,,0.99
D6_DRL,T_max,AP4_phi030,20,0.05,0.3,,,100,,0.9916666666666667
D6_DRL,T_max,AP5_phi100_p10,20,0.05,1.0,10,,100,,1.0
D6_DRL,T_max,AP6c_active,20,0.05,,,0.0,100,,0.99
D3_RHMD,T_meanvar_z,AP4_phi030,20,0.05,0.3,,,100,,0.9916666666666667
D3_RHMD,T_meanvar_z,AP5_phi100_p10,20,0.05,1.0,10,,100,,0.9916666666666667
D3_RHMD,T_meanvar_z,AP6c_active,20,0.05,,,0.0,100,,0.99
D6_DRL,T_meanvar_z,AP4_phi030,20,0.05,0.3,,,100,,0.9916666666666667
D6_DRL,T_meanvar_z,AP5_phi100_p10,20,0.05,1.0,10,,100,,1.0
D6_DRL,T_meanvar_z,AP6c_active,20,0.05,,,0.0,100,,0.99
D3_RHMD,T1_mean,AP4_phi030,20,0.1,0.3,,,100,,0.98
D3_RHMD,T1_mean,AP5_phi100_p10,20,0.1,1.0,10,,100,,0.9666666666666667
D3_RHMD,T1_mean,AP6c_active,20,0.1,,,0.0,100,,0.8933333333333334
D6_DRL,T1_mean,AP4_phi030,20,0.1,0.3,,,100,,0.9916666666666667
D6_DRL,T1_mean,AP5_phi100_p10,20,0.1,1.0,10,,100,,1.0
D6_DRL,T1_mean,AP6c_active,20,0.1,,,0.0,100,,0.9733333333333333
D3_RHMD,T_max,AP4_phi030,20,0.1,0.3,,,100,,0.9916666666666667
D3_RHMD,T_max,AP5_phi100_p10,20,0.1,1.0,10,,100,,0.7963333333333334
D3_RHMD,T_max,AP6c_active,20,0.1,,,0.0,100,,0.99
D6_DRL,T_max,AP4_phi030,20,0.1,0.3,,,100,,0.9916666666666667
D6_DRL,T_max,AP5_phi100_p10,20,0.1,1.0,10,,100,,0.9983333333333334
D6_DRL,T_max,AP6c_active,20,0.1,,,0.0,100,,0.99
D3_RHMD,T_meanvar_z,AP4_phi030,20,0.1,0.3,,,100,,0.9916666666666667
D3_RHMD,T_meanvar_z,AP5_phi100_p10,20,0.1,1.0,10,,100,,0.9299999999999998
D3_RHMD,T_meanvar_z,AP6c_active,20,0.1,,,0.0,100,,0.99
D6_DRL,T_meanvar_z,AP4_phi030,20,0.1,0.3,,,100,,0.9916666666666667
D6_DRL,T_meanvar_z,AP5_phi100_p10,20,0.1,1.0,10,,100,,1.0
D6_DRL,T_meanvar_z,AP6c_active,20,0.1,,,0.0,100,,0.99
D3_RHMD,T1_mean,AP4_phi030,20,0.15,0.3,,,100,,0.8666666666666666
D3_RHMD,T1_mean,AP5_phi100_p10,20,0.15,1.0,10,,100,,0.775
D3_RHMD,T1_mean,AP6c_active,20,0.15,,,0.0,100,,0.8349999999999999
D6_DRL,T1_mean,AP4_phi030,20,0.15,0.3,,,100,,0.9733333333333333
D6_DRL,T1_mean,AP5_phi100_p10,20,0.15,1.0,10,,100,,0.9983333333333334
D6_DRL,T1_mean,AP6c_active,20,0.15,,,0.0,100,,0.9583333333333333
D3_RHMD,T_max,AP4_phi030,20,0.15,0.3,,,100,,0.9883333333333334
D3_RHMD,T_max,AP5_phi100_p10,20,0.15,1.0,10,,100,,0.5326666666666667
D3_RHMD,T_max,AP6c_active,20,0.15,,,0.0,100,,0.9883333333333334
D6_DRL,T_max,AP4_phi030,20,0.15,0.3,,,100,,0.9916666666666667
D6_DRL,T_max,AP5_phi100_p10,20,0.15,1.0,10,,100,,0.9883333333333333
D6_DRL,T_max,AP6c_active,20,0.15,,,0.0,100,,0.99
D3_RHMD,T_meanvar_z,AP4_phi030,20,0.15,0.3,,,100,,0.9783333333333333
D3_RHMD,T_meanvar_z,AP5_phi100_p10,20,0.15,1.0,10,,100,,0.7533333333333333
D3_RHMD,T_meanvar_z,AP6c_active,20,0.15,,,0.0,100,,0.9866666666666667
D6_DRL,T_meanvar_z,AP4_phi030,20,0.15,0.3,,,100,,0.9916666666666667
D6_DRL,T_meanvar_z,AP5_phi100_p10,20,0.15,1.0,10,,100,,0.9966666666666667
D6_DRL,T_meanvar_z,AP6c_active,20,0.15,,,0.0,100,,0.9883333333333334
D3_RHMD,T1_mean,AP4_phi030,20,0.2,0.3,,,100,,0.693
D3_RHMD,T1_mean,AP5_phi100_p10,20,0.2,1.0,10,,100,,0.5863333333333334
D3_RHMD,T1_mean,AP6c_active,20,0.2,,,0.0,100,,0.7383333333333334
D6_DRL,T1_mean,AP4_phi030,20,0.2,0.3,,,100,,0.88
D6_DRL,T1_mean,AP5_phi100_p10,20,0.2,1.0,10,,100,,0.9966666666666667
D6_DRL,T1_mean,AP6c_active,20,0.2,,,0.0,100,,0.9333333333333335
D3_RHMD,T_max,AP4_phi030,20,0.2,0.3,,,100,,0.9199999999999998
D3_RHMD,T_max,AP5_phi100_p10,20,0.2,1.0,10,,100,,0.366
D3_RHMD,T_max,AP6c_active,20,0.2,,,0.0,100,,0.975
D6_DRL,T_max,AP4_phi030,20,0.2,0.3,,,100,,0.9833333333333334
D6_DRL,T_max,AP5_phi100_p10,20,0.2,1.0,10,,100,,0.9366666666666668
D6_DRL,T_max,AP6c_active,20,0.2,,,0.0,100,,0.9883333333333334
D3_RHMD,T_meanvar_z,AP4_phi030,20,0.2,0.3,,,100,,0.9
D3_RHMD,T_meanvar_z,AP5_phi100_p10,20,0.2,1.0,10,,100,,0.5896666666666667
D3_RHMD,T_meanvar_z,AP6c_active,20,0.2,,,0.0,100,,0.975
D6_DRL,T_meanvar_z,AP4_phi030,20,0.2,0.3,,,100,,0.9650000000000002
D6_DRL,T_meanvar_z,AP5_phi100_p10,20,0.2,1.0,10,,100,,0.9866666666666667
D6_DRL,T_meanvar_z,AP6c_active,20,0.2,,,0.0,100,,0.9816666666666666
D3_RHMD,T1_mean,AP4_phi030,20,0.25,0.3,,,100,,0.546
D3_RHMD,T1_mean,AP5_phi100_p10,20,0.25,1.0,10,,100,,0.45266666666666666
D3_RHMD,T1_mean,AP6c_active,20,0.25,,,0.0,100,,0.5816666666666667
D6_DRL,T1_mean,AP4_phi030,20,0.25,0.3,,,100,,0.7516666666666667
D6_DRL,T1_mean,AP5_phi100_p10,20,0.25,1.0,10,,100,,0.9799999999999999
D6_DRL,T1_mean,AP6c_active,20,0.25,,,0.0,100,,0.8816666666666667
D3_RHMD,T_max,AP4_phi030,20,0.25,0.3,,,100,,0.8016666666666667
D3_RHMD,T_max,AP5_phi100_p10,20,0.25,1.0,10,,100,,0.28099999999999997
D3_RHMD,T_max,AP6c_active,20,0.25,,,0.0,100,,0.9299999999999998
D6_DRL,T_max,AP4_phi030,20,0.25,0.3,,,100,,0.9266666666666667
D6_DRL,T_max,AP5_phi100_p10,20,0.25,1.0,10,,100,,0.8483333333333333
D6_DRL,T_max,AP6c_active,20,0.25,,,0.0,100,,0.9783333333333334
D3_RHMD,T_meanvar_z,AP4_phi030,20,0.25,0.3,,,100,,0.716
D3_RHMD,T_meanvar_z,AP5_phi100_p10,20,0.25,1.0,10,,100,,0.4726666666666667
D3_RHMD,T_meanvar_z,AP6c_active,20,0.25,,,0.0,100,,0.8966666666666666
D6_DRL,T_meanvar_z,AP4_phi030,20,0.25,0.3,,,100,,0.8766666666666667
D6_DRL,T_meanvar_z,AP5_phi100_p10,20,0.25,1.0,10,,100,,0.97
D6_DRL,T_meanvar_z,AP6c_active,20,0.25,,,0.0,100,,0.9616666666666667
