defense,scheme,profile,N,sigma,phi,p,inclique,n_seeds,AUC,tpr_at_fpr01
D3_RHMD,T1_mean,AP4_phi030,20,0.05,0.3,,,100,,0.9933333333333334
D3_RHMD,T1_mean,AP5_phi100_p10,20,0.05,1.0,10,,100,,1.0
D3_RHMD,T1_mean,AP6c_active,20,0.05,,,0.0,100,,0.94
D6_DRL,T1_mean,AP4_phi030,20,0.05,0.3,,,100,,0.9933333333333334
D6_DRL,T1_mean,AP5_phi100_p10,20,0.05,1.0,10,,100,,1.0
D6_DRL,T1_mean,AP6c_active,20,0.05,,,0.0,100,,0.99
D3_RHMD,T_max,AP4_phi030,20,0.05,0.3,,,100,,0.9916666666666667
D3_RHMD,T_max,AP5_phi100_p10,20,0.05,1.0,10,,100,,0.995
D3_RHMD,T_max,AP6c_active,20,0.05,,,0.0,100,,0.99
D6_DRL,T_max,AP4_phi030,20,0.05,0.3,,,100,,0.9916666666666667
D6_DRL,T_max,AP5_phi100_p10,20,0.05,1.0,10,,100,,1.0
D6_DRL,T_max,AP6c_active,20,0.05,,,0.0,100,,0.99
D3_RHMD,T_meanvar_z,AP4_phi030,20,0.05,0.3,,,100,,0.9916666666666667
D3_RHMD,T_meanvar_z,AP5_phi100_p10,20,0.05,1.0,10,,100,,0.9966666666666667
D3_RHMD,T_meanvar_z,AP6c_active,20,0.05,,,0.0,100,,0.99
D6_DRL,T_meanvar_z,AP4_phi030,20,0.05,0.3,,,100,,0.9916666666666667
D6_DRL,T_meanvar_z,AP5_phi100_p10,20,0.05,1.0,10,,100,,1.0
D6_DRL,T_meanvar_z,AP6c_active,20,0.05,,,0.0,100,,0.99
D3_RHMD,T1_mean,AP4_phi030,20,0.1,0.3,,,100,,0.98
D3_RHMD,T1_mean,AP5_phi100_p10,20,0.1,1.0,10,,100,,0.9749999999999999
D3_RHMD,T1_mean,AP6c_active,20,0.1,,,0.0,100,,0.8966666666666667
D6_DRL,T1_mean,AP4_phi030,20,0.1,0.3,,,100,,0.9933333333333334
D6_DRL,T1_mean,AP5_phi100_p10,20,0.1,1.0,10,,100,,1.0
D6_DRL,T1_mean,AP6c_active,20,0.1,,,0.0,100,,0.9749999999999999
D3_RHMD,T_max,AP4_phi030,20,0.1,0.3,,,100,,0.9916666666666667
D3_RHMD,T_max,AP5_phi100_p10,20,0.1,1.0,10,,100,,0.8213333333333332
D3_RHMD,T_max,AP6c_active,20,0.1,,,0.0,100,,0.99
D6_DRL,T_max,AP4_phi030,20,0.1,0.3,,,100,,0.9916666666666667
D6_DRL,T_max,AP5_phi100_p10,20,0.1,1.0,10,,100,,0.9983333333333334
D6_DRL,T_max,AP6c_active,20,0.1,,,0.0,100,,0.99
D3_RHMD,T_meanvar_z,AP4_phi030,20,0.1,0.3,,,100,,0.9916666666666667
D3_RHMD,T_meanvar_z,AP5_phi100_p10,20,0.1,1.0,10,,100,,0.9433333333333332
D3_RHMD,T_meanvar_z,AP6c_active,20,0.1,,,0.0,100,,0.99
D6_DRL,T_meanvar_z,AP4_phi030,20,0.1,0.3,,,100,,0.9916666666666667
D6_DRL,T_meanvar_z,AP5_phi100_p10,20,0.1,1.0,10,,100,,1.0
D6_DRL,T_meanvar_z,AP6c_active,20,0.1,,,0.0,100,,0.99
D3_RHMD,T1_mean,AP4_phi030,20,0.15,0.3,,,100,,0.8666666666666666
D3_RHMD,T1_mean,AP5_phi100_p10,20,0.15,1.0,10,,100,,0.8133333333333332
D3_RHMD,T1_mean,AP6c_active,20,0.15,,,0.0,100,,0.8366666666666667
D6_DRL,T1_mean,AP4_phi030,20,0.15,0.3,,,100,,0.9783333333333333
D6_DRL,T1_mean,AP5_phi100_p10,20,0.15,1.0,10,,100,,0.9983333333333334
D6_DRL,T1_mean,AP6c_active,20,0.15,,,0.0,100,,0.9633333333333333
D3_RHMD,T_max,AP4_phi030,20,0.15,0.3,,,100,,0.9883333333333334
D3_RHMD,T_max,AP5_phi100_p10,20,0.15,1.0,10,,100,,0.5476666666666667
D3_RHMD,T_max,AP6c_active,20,0.15,,,0.0,100,,0.9883333333333334
D6_DRL,T_max,AP4_phi030,20,0.15,0.3,,,100,,0.9916666666666667
D6_DRL,T_max,AP5_phi100_p10,20,0.15,1.0,10,,100,,0.9766666666666667
D6_DRL,T_max,AP6c_active,20,0.15,,,0.0,100,,0.99
D3_RHMD,T_meanvar_z,AP4_phi030,20,0.15,0.3,,,100,,0.98
D3_RHMD,T_meanvar_z,AP5_phi100_p10,20,0.15,1.0,10,,100,,0.7816666666666667
D3_RHMD,T_meanvar_z,AP6c_active,20,0.15,,,0.0,100,,0.9883333333333334
D6_DRL,T_meanvar_z,AP4_phi030,20,0.15,0.3,,,100,,0.9916666666666667
D6_DRL,T_meanvar_z,AP5_phi100_p10,20,0.15,1.0,10,,100,,0.9966666666666667
D6_DRL,T_meanvar_z,AP6c_active,20,0.15,,,0.0,100,,0.9883333333333334
D3_RHMD,T1_mean,AP4_phi030,20,0.2,0.3,,,100,,0.693
D3_RHMD,T1_mean,AP5_phi100_p10,20,0.2,1.0,10,,100,,0.6113333333333333
D3_RHMD,T1_mean,AP6c_active,20,0.2,,,0.0,100,,0.7416666666666666
D6_DRL,T1_mean,AP4_phi030,20,0.2,0.3,,,100,,0.8933333333333334
D6_DRL,T1_mean,AP5_phi100_p10,20,0.2,1.0,10,,100,,0.9933333333333334
D6_DRL,T1_mean,AP6c_active,20,0.2,,,0.0,100,,0.9416666666666668
D3_RHMD,T_max,AP4_phi030,20,0.2,0.3,,,100,,0.9233333333333333
D3_RHMD,T_max,AP5_phi100_p10,20,0.2,1.0,10,,100,,0.38933333333333336
D3_RHMD,T_max,AP6c_active,20,0.2,,,0.0,100,,0.975
D6_DRL,T_max,AP4_phi030,20,0.2,0.3,,,100,,0.9833333333333334
D6_DRL,T_max,AP5_phi100_p10,20,0.2,1.0,10,,100,,0.9149999999999998
D6_DRL,T_max,AP6c_active,20,0.2,,,0.0,100,,0.9883333333333334
D3_RHMD,T_meanvar_z,AP4_phi030,20,0.2,0.3,,,100,,0.9016666666666667
D3_RHMD,T_meanvar_z,AP5_phi100_p10,20,0.2,1.0,10,,100,,0.613
D3_RHMD,T_meanvar_z,AP6c_active,20,0.2,,,0.0,100,,0.975
D6_DRL,T_meanvar_z,AP4_phi030,20,0.2,0.3,,,100,,0.9650000000000002
D6_DRL,T_meanvar_z,AP5_phi100_p10,20,0.2,1.0,10,,100,,0.9816666666666667
D6_DRL,T_meanvar_z,AP6c_active,20,0.2,,,0.0,100,,0.9816666666666666
D3_RHMD,T1_mean,AP4_phi030,20,0.25,0.3,,,100,,0.546
D3_RHMD,T1_mean,AP5_phi100_p10,20,0.25,1.0,10,,100,,0.46799999999999997
D3_RHMD,T1_mean,AP6c_active,20,0.25,,,0.0,100,,0.5833333333333334
D6_DRL,T1_mean,AP4_phi030,20,0.25,0.3,,,100,,0.755
D6_DRL,T1_mean,AP5_phi100_p10,20,0.25,1.0,10,,100,,0.9683333333333333
D6_DRL,T1_mean,AP6c_active,20,0.25,,,0.0,100,,0.8900000000000001
D3_RHMD,T_max,AP4_phi030,20,0.25,0.3,,,100,,0.8016666666666667
D3_RHMD,T_max,AP5_phi100_p10,20,0.25,1.0,10,,100,,0.291
D3_RHMD,T_max,AP6c_active,20,0.25,,,0.0,100,,0.9316666666666668
D6_DRL,T_max,AP4_phi030,20,0.25,0.3,,,100,,0.9266666666666667
D6_DRL,T_max,AP5_phi100_p10,20,0.25,1.0,10,,100,,0.7980000000000002
D6_DRL,T_max,AP6c_active,20,0.25,,,0.0,100,,0.9766666666666666
D3_RHMD,T_meanvar_z,AP4_phi030,20,0.25,0.3,,,100,,0.7210000000000001
D3_RHMD,T_meanvar_z,AP5_phi100_p10,20,0.25,1.0,10,,100,,0.49266666666666664
D3_RHMD,T_meanvar_z,AP6c_active,20,0.25,,,0.0,100,,0.8966666666666666
D6_DRL,T_meanvar_z,AP4_phi030,20,0.25,0.3,,,100,,0.8716666666666667
D6_DRL,T_meanvar_z,AP5_phi100_p10,20,0.25,1.0,10,,100,,0.9566666666666667
D6_DRL,T_meanvar_z,AP6c_active,20,0.25,,,0.0,100,,0.9616666666666667
